IE_NAME|IE_ACTIVE|IE_PREVIEW_PICTURE|IE_PREVIEW_TEXT|IE_PREVIEW_TEXT_TYPE|IE_DETAIL_PICTURE|IE_DETAIL_TEXT|IE_DETAIL_TEXT_TYPE|IE_CODE|IP_PROP265|IP_PROP266|IP_PROP54|IP_PROP55|IP_PROP268|IP_PROP59|IP_PROP74|IP_PROP294|IP_PROP60|IP_PROP272|IP_PROP273|IP_PROP274|IP_PROP275|IP_PROP276|IP_PROP63|IP_PROP277|IP_PROP278|IP_PROP279|IP_PROP280|IP_PROP281|IP_PROP282|IP_PROP283|IP_PROP284|IP_PROP285|IP_PROP286|IP_PROP287|IP_PROP288|IP_PROP289|IP_PROP290|IP_PROP291|IP_PROP292|IP_PROP293|IP_PROP77|IP_PROP294|IP_PROP295|IP_PROP296|IP_PROP297|IP_PROP298|IP_PROP299|IP_PROP300|IP_PROP301|IP_PROP302|IP_PROP303|IP_PROP304|IP_PROP305|IP_PROP306|IP_PROP307|IP_PROP308|IP_PROP309|IP_PROP311|IP_PROP312|IP_PROP313|IP_PROP314|IP_PROP315|IP_PROP316|IP_PROP317|IP_PROP318|IP_PROP319|IP_PROP320|IP_PROP321|IP_PROP322|IP_PROP323|IP_PROP324|IP_PROP325|IP_PROP326|IP_PROP327|IP_PROP328|IP_PROP329|IP_PROP330|IP_PROP331|IP_PROP332|IP_PROP333|IP_PROP334|IP_PROP335|CP_QUANTITY|CV_PRICE_1|CV_CURRENCY_1
АСТЗ ЛПО05-2х28-031 OPL HF / 041 OPL RD|Y|/upload/iblock/e70/lh950oxhtdkjv8wptwc700e1kei5uxc3.png||text|/upload/iblock/090/2q9rdgtq6znayaxpbnug8ivrjvm9i0p3.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
<b>Управление: &nbsp;</b>DALI<br>
 <br>
 <b>Источник питания: </b>ЭПРА А1 /&nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>3х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Накладной<br>
"|html|astz-lpo05-2x28-031-opl-hf-041-opl-rd||||||/upload/iblock/066/beobyrm6519g3ty08alldv3guritwokh.png|1073228031, 1073228071|110|Россия|||3 года|||[TEXT]|16110|28x2|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|3.63||Белый|1193х293х69||Д||Офисные помещения||||Прямоугольник||||||||||1239|293|69||Офисные  |||||||||||||||||10|16110|RUB
АСТЗ ЛПО05-2х28-031 OPL HF / 041 OPL RD|Y|/upload/iblock/e70/lh950oxhtdkjv8wptwc700e1kei5uxc3.png||text|/upload/iblock/090/2q9rdgtq6znayaxpbnug8ivrjvm9i0p3.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
<b>Управление: &nbsp;</b>DALI<br>
 <br>
 <b>Источник питания: </b>ЭПРА А1 /&nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>3х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Накладной<br>
"|html|astz-lpo05-2x28-031-opl-hf-041-opl-rd||||||/upload/iblock/066/beobyrm6519g3ty08alldv3guritwokh.png|1073228031, 1073228071|110|Россия|||3 года|||[TEXT]|16110|28x2|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|3.63||Белый|1193х293х69||Д||Офисные помещения||||Прямоугольник||||||||||1239|293|69||Офисные  |||||||||||||||||10|16110|RUB
АСТЗ ЛПО05-2х28-031 OPL HF БАП|Y|/upload/iblock/1f9/i22reg8w8wmn8y76rk8ga01tuqulcwvn.png||text|/upload/iblock/3af/fymv3ax09jsub1i6aouiq0tf4mhvv5h0.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
 <b>Источник питания: </b>ЭПРА &nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>4х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Потолочный<br>
"|html|astz-lpo05-2x28-031-opl-hf-bap||||||/upload/iblock/ced/tbndnmhw131jgvr2z57il1p153k0azap.png|1073228081|110|Россия|||3 года|||[TEXT]|16010|28x2|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|4.63||Белый|1193х293х69||Д||Офисные помещения||||Прямоугольник|||3 часа|||||ДА||1193|293|69||Офисные  ||||БАП 3 часа|||||||||||||10|16010|RUB
АСТЗ ЛПО05-2х28-031 OPL HF БАП|Y|/upload/iblock/1f9/i22reg8w8wmn8y76rk8ga01tuqulcwvn.png||text|/upload/iblock/3af/fymv3ax09jsub1i6aouiq0tf4mhvv5h0.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
 <b>Источник питания: </b>ЭПРА &nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>4х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Потолочный<br>
"|html|astz-lpo05-2x28-031-opl-hf-bap||||||/upload/iblock/ced/tbndnmhw131jgvr2z57il1p153k0azap.png|1073228081|110|Россия|||3 года|||[TEXT]|16010|28x2|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|4.63||Белый|1193х293х69||Д||Офисные помещения||||Прямоугольник|||3 часа|||||ДА||1193|293|69||Офисные  ||||БАП 3 часа|||||||||||||10|16010|RUB
АСТЗ ЛПО05-2х28-031 OPL HF БАП|Y|/upload/iblock/1f9/i22reg8w8wmn8y76rk8ga01tuqulcwvn.png||text|/upload/iblock/3af/fymv3ax09jsub1i6aouiq0tf4mhvv5h0.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
 <b>Источник питания: </b>ЭПРА &nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>4х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Потолочный<br>
"|html|astz-lpo05-2x28-031-opl-hf-bap||||||/upload/iblock/ced/tbndnmhw131jgvr2z57il1p153k0azap.png|1073228081|110|Россия|||3 года|||[TEXT]|16010|28x2|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|4.63||Белый|1193х293х69||Д||Офисные помещения||||Прямоугольник|||3 часа|||||ДА||1193|293|69||Офисные  ||||БАП 3 часа|||||||||||||10|16010|RUB
АСТЗ ЛПО05-4х14-031 OPL HF / 041 OPL RA / 041 OPL RD|Y|/upload/iblock/1f6/z069ra6bm9yubuxjfwt2fvy5hteqn00u.png||text|/upload/iblock/7fa/jemr3r1zj67lix7ost3f03vbwiq7ca3d.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
<b>Управление: &nbsp;</b>DALI<br>
 <br>
 <b>Источник питания: </b>ЭПРА А1 /&nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>3х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Накладной<br>
"|html|astz-lpo05-4x14-031-opl-hf-041-opl-ra-041-opl-rd||||||/upload/iblock/117/0jhyudsplhpliiw8e5m46rar3lt2ecx4.png|1073414031, 1073414041, 1073414071|110|Россия|||3 года|||[TEXT]|14525|14x4|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|3.47||Белый|593х593х69||Д||Офисные помещения||||Квадрат||||||||||593|593|69||Офисные  |||||||||||||||||10|14525|RUB
АСТЗ ЛПО05-4х14-031 OPL HF / 041 OPL RA / 041 OPL RD|Y|/upload/iblock/1f6/z069ra6bm9yubuxjfwt2fvy5hteqn00u.png||text|/upload/iblock/7fa/jemr3r1zj67lix7ost3f03vbwiq7ca3d.png|"<b>Тип корпуса:&nbsp;</b>Штампованный/Сварной<br>
 <br>
<b>Корпус:&nbsp;</b>Сталь<br>
<br>
<b>Управление: &nbsp;</b>DALI<br>
 <br>
 <b>Источник питания: </b>ЭПРА А1 /&nbsp;А2<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:&nbsp;</b>Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система: </b>опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:</b>&nbsp;Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>3х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Накладной<br>
"|html|astz-lpo05-4x14-031-opl-hf-041-opl-ra-041-opl-rd||||||/upload/iblock/117/0jhyudsplhpliiw8e5m46rar3lt2ecx4.png|1073414031, 1073414041, 1073414071|110|Россия|||3 года|||[TEXT]|14525|14x4|220|50|0,96|||||||20||I|Опаловый|Алюминий|Накладной|3.47||Белый|593х593х69||Д||Офисные помещения||||Квадрат||||||||||593|593|69||Офисные  |||||||||||||||||10|14525|RUB
АСТЗ ЛПО05-4х14-031 OPL HF БАП / 041 OPL RA БАП|Y|/upload/iblock/66e/ff087dbnpc0hasys5dmjfdutvr3vypiy.png||text|/upload/iblock/7f5/u8k9z2iow16zghm3hedlq8jfs9alg430.png|"<b>Тип корпуса:</b>&nbsp;Штампованный/Сварной<br>
 <br>
 <b>Корпус:&nbsp;</b>Сталь<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Источник питания:</b>&nbsp;ЭПРА А1 / А2<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:</b>&nbsp;Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система:&nbsp;</b>Опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:&nbsp;</b>Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>4х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Потолочный<br>"|html|astz-lpo05-4x14-031-opl-hf-bap-041-opl-ra-bap||||||/upload/iblock/a67/0jlxs6bgov3xvq1frbffmbuufxgmynjy.png|1073414091, 1073414081|110|Россия|||3 года|||[TEXT]|20841|14x4|220|50|0,96|||||||20||I|Опаловый|Сталь|Накладной|4,47||Белый|593х593х69||Д||Офисные помещения||||Квадрат|||3 часа|||||ДА||593|593|69||||||БАП 3 часа|||||||||||||10|20841|RUB
АСТЗ ЛПО05-4х14-031 OPL HF БАП / 041 OPL RA БАП|Y|/upload/iblock/66e/ff087dbnpc0hasys5dmjfdutvr3vypiy.png||text|/upload/iblock/7f5/u8k9z2iow16zghm3hedlq8jfs9alg430.png|"<b>Тип корпуса:</b>&nbsp;Штампованный/Сварной<br>
 <br>
 <b>Корпус:&nbsp;</b>Сталь<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Источник питания:</b>&nbsp;ЭПРА А1 / А2<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:</b>&nbsp;Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система:&nbsp;</b>Опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:&nbsp;</b>Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>4х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Потолочный<br>"|html|astz-lpo05-4x14-031-opl-hf-bap-041-opl-ra-bap||||||/upload/iblock/a67/0jlxs6bgov3xvq1frbffmbuufxgmynjy.png|1073414091, 1073414081|110|Россия|||3 года|||[TEXT]|20841|14x4|220|50|0,96|||||||20||I|Опаловый|Сталь|Накладной|4,47||Белый|593х593х69||Д||Офисные помещения||||Квадрат|||3 часа|||||ДА||593|593|69||||||БАП 3 часа|||||||||||||10|20841|RUB
АСТЗ ЛПО05-4х14-031 OPL HF БАП / 041 OPL RA БАП|Y|/upload/iblock/66e/ff087dbnpc0hasys5dmjfdutvr3vypiy.png||text|/upload/iblock/7f5/u8k9z2iow16zghm3hedlq8jfs9alg430.png|"<b>Тип корпуса:</b>&nbsp;Штампованный/Сварной<br>
 <br>
 <b>Корпус:&nbsp;</b>Сталь<br>
 <br>
 <b>Цвет корпуса/материал окраски:&nbsp;</b>Белый (порошковое покрытие)<br>
 <br>
 <b>Источник питания:</b>&nbsp;ЭПРА А1 / А2<br>
 <br>
 <b>Вводное устройство:&nbsp;</b>Кольцо<br>
 <br>
 <b>Материал вводного устройства:&nbsp;</b>Полиэтилен<br>
 <br>
 <b>Патрон:&nbsp;</b>G5<br>
 <br>
 <b>Материал патрона:&nbsp;</b>Полимерный материал, медь<br>
 <br>
 <b>Обечайка:</b>&nbsp;Сталь<br>
 <br>
 <b>Монтаж обечайки:&nbsp;</b>На пружины в корпус<br>
 <br>
 <b>Цвет обечайки/материал окраски:&nbsp;</b>Серебристый<br>
 <br>
 <b>Обслуживание обечайки:&nbsp;</b>На пружины<br>
 <br>
 <b>Тип оптической системы:&nbsp;</b>Рассеиватель<br>
 <br>
 <b>Монтаж оптической системы:&nbsp;</b>Устанавливается в обечайку<br>
 <br>
 <b>Оптическая система:&nbsp;</b>Опал<br>
 <br>
 <b>Материал оптической системы:&nbsp;</b>Полимерный материал<br>
 <br>
 <b>Тип подключения:&nbsp;</b>Клеммная колодка<br>
 <br>
 <b>Подключение:&nbsp;</b>4х2,5мм?<br>
 <br>
 <b>Способ установки:&nbsp;</b>Потолочный<br>"|html|astz-lpo05-4x14-031-opl-hf-bap-041-opl-ra-bap||||||/upload/iblock/a67/0jlxs6bgov3xvq1frbffmbuufxgmynjy.png|1073414091, 1073414081|110|Россия|||3 года|||[TEXT]|20841|14x4|220|50|0,96|||||||20||I|Опаловый|Сталь|Накладной|4,47||Белый|593х593х69||Д||Офисные помещения||||Квадрат|||3 часа|||||ДА||593|593|69||||||БАП 3 часа|||||||||||||10|20841|RUB
